Open,High,Low,Adj Close,Volume
5157.549805,5212.700195,5147.950195,5178.899902,0.0
6129.950195,6236.0,6129.950195,6217.149902,243300.0
17423.099609,17584.150391,17421.0,17563.949219,249600.0
21543.5,21593.0,21087.349609,21150.150391,363900.0
9448.599609,9450.650391,9411.299805,9422.400391,171100.0
19598.650391,19737.0,19550.050781,19727.050781,304900.0
8399.400391,8421.349609,8338.900391,8360.849609,130100.0
10051.549805,10155.650391,10049.099609,10124.349609,203000.0
5750.049805,5761.850098,5649.0,5677.899902,222500.0
11395.650391,11395.650391,11311.599609,11354.25,294500.0
5005.600098,5077.25,5005.600098,5066.549805,0.0
5273.399902,5283.049805,5237.549805,5262.600098,0.0
